filename,,name,filename,original_shape,transformed_shape,params,reduction_time,accuracy,train_time,score_series
"1000_0.33_(-100, 100)",0,extremely sparse JL transform,"1000_0.33_(-100, 100)","(1000, 1000)","(1110, 2351)","{'ep': 0.05, 'de': 0.05}",0.016115581,0.97,0.638783137,171.74680514
"1000_0.33_(-100, 100)",26,extremely sparse JL transform,"1000_0.33_(-100, 100)","(1000, 10000)","(1110, 3135)","{'ep': 0.05, 'de': 0.05}",0.131163676,0.99,0.765473702,190.19800998
"1000_0.33_(-100, 100)",54,extremely sparse JL transform,"1000_0.33_(-100, 100)","(1000, 20000)","(1110, 1685)","{'ep': 0.1, 'de': 0.05}",0.234587046,0.89,0.418538927,111.68118898000002
"1000_0.33_(-100, 100)",78,extremely sparse JL transform,"1000_0.33_(-100, 100)","(10000, 1000)","(10110, 2961)","{'ep': 0.05, 'de': 0.05}",0.375906121,0.22,2.095778206,0.10307264
"1000_0.33_(-100, 100)",128,PCA,"1000_0.33_(-100, 100)","(10000, 10000)","(10110, 101)","{'n_components': 101, 'svd_solver': 'auto'}",10.871571654,0.99,0.245961822,17.29072818
"1000_0.33_(-100, 100)",131,extremely sparse JL transform,"1000_0.33_(-100, 100)","(10000, 20000)","(10110, 4108)","{'ep': 0.05, 'de': 0.1}",2.695430377,0.93,2.415506596,46.379224620000016
"1000_0.33_(-100, 100)",157,extremely sparse JL transform,"1000_0.33_(-100, 100)","(20000, 1000)","(20110, 3056)","{'ep': 0.05, 'de': 0.1}",0.759568607,0.27,2.940273109,0.2869781400000001
"1000_0.33_(-100, 100)",182,extremely sparse JL transform,"1000_0.33_(-100, 100)","(20000, 10000)","(20110, 4202)","{'ep': 0.05, 'de': 0.05}",3.184669605,0.71,3.698170021,9.021146754999998
"1000_0.33_(-100, 100)",224,JL transform,"1000_0.33_(-100, 100)","(20000, 20000)","(20110, 2000)","{'ep': 0.05, 'de': 0.05}",15.108965395,0.97,1.388955598,10.73417532125
"1000_0.33_(-1000, 1000)",0,extremely sparse JL transform,"1000_0.33_(-1000, 1000)","(1000, 1000)","(1110, 2351)","{'ep': 0.05, 'de': 0.05}",0.017848213,1.0,0.607140966,200.0
"1000_0.33_(-1000, 1000)",26,extremely sparse JL transform,"1000_0.33_(-1000, 1000)","(1000, 10000)","(1110, 3135)","{'ep': 0.05, 'de': 0.05}",0.11439259,1.0,0.655701283,200.0
"1000_0.33_(-1000, 1000)",52,extremely sparse JL transform,"1000_0.33_(-1000, 1000)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.265409746,1.0,0.777607212,200.0
"1000_0.33_(-1000, 1000)",78,extremely sparse JL transform,"1000_0.33_(-1000, 1000)","(10000, 1000)","(10110, 2961)","{'ep': 0.05, 'de': 0.05}",0.400851333,1.0,2.089970592,200.0
"1000_0.33_(-1000, 1000)",119,sparse JL transform,"1000_0.33_(-1000, 1000)","(10000, 10000)","(10110, 68)","{'ep': 0.9, 'de': 0.1}",0.822495407,1.0,0.562441333,200.0
"1000_0.33_(-1000, 1000)",143,sparse JL transform,"1000_0.33_(-1000, 1000)","(10000, 20000)","(10110, 221)","{'ep': 0.5, 'de': 0.1}",1.643922777,1.0,0.35787443,100.0
"1000_0.33_(-1000, 1000)",156,extremely sparse JL transform,"1000_0.33_(-1000, 1000)","(20000, 1000)","(20110, 3151)","{'ep': 0.05, 'de': 0.05}",0.78508105,1.0,2.870226738,200.0
"1000_0.33_(-1000, 1000)",196,sparse JL transform,"1000_0.33_(-1000, 1000)","(20000, 10000)","(20110, 88)","{'ep': 0.9, 'de': 0.05}",0.940410459,1.0,0.31421013,200.0
"1000_0.33_(-1000, 1000)",223,sparse JL transform,"1000_0.33_(-1000, 1000)","(20000, 20000)","(20110, 68)","{'ep': 0.9, 'de': 0.1}",1.753800503,1.0,0.198714354,100.0
"1000_0.33_(-500, 500)",0,extremely sparse JL transform,"1000_0.33_(-500, 500)","(1000, 1000)","(1110, 2351)","{'ep': 0.05, 'de': 0.05}",0.017322336,1.0,0.493771846,200.0
"1000_0.33_(-500, 500)",26,extremely sparse JL transform,"1000_0.33_(-500, 500)","(1000, 10000)","(1110, 3135)","{'ep': 0.05, 'de': 0.05}",0.126518638,1.0,0.701200815,200.0
"1000_0.33_(-500, 500)",52,extremely sparse JL transform,"1000_0.33_(-500, 500)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.266685895,1.0,0.703827721,200.0
"1000_0.33_(-500, 500)",78,extremely sparse JL transform,"1000_0.33_(-500, 500)","(10000, 1000)","(10110, 2961)","{'ep': 0.05, 'de': 0.05}",0.393738292,0.97,1.838954942,171.74680514
"1000_0.33_(-500, 500)",117,sparse JL transform,"1000_0.33_(-500, 500)","(10000, 10000)","(10110, 221)","{'ep': 0.5, 'de': 0.1}",0.899538483,0.99,0.416299383,190.19800998
"1000_0.33_(-500, 500)",143,sparse JL transform,"1000_0.33_(-500, 500)","(10000, 20000)","(10110, 221)","{'ep': 0.5, 'de': 0.1}",1.860424424,0.99,0.440576845,95.09900499
"1000_0.33_(-500, 500)",157,extremely sparse JL transform,"1000_0.33_(-500, 500)","(20000, 1000)","(20110, 3056)","{'ep': 0.05, 'de': 0.1}",0.79287414,1.0,2.814193292,200.0
"1000_0.33_(-500, 500)",194,sparse JL transform,"1000_0.33_(-500, 500)","(20000, 10000)","(20110, 287)","{'ep': 0.5, 'de': 0.05}",1.496553184,1.0,0.347209935,100.0
"1000_0.33_(-500, 500)",255,JL transform,"1000_0.33_(-500, 500)","(20000, 20000)","(20110, 221)","{'ep': 0.5, 'de': 0.1}",2.999870461,0.96,0.426613118,54.35817984
"1000_0.66_(-100, 100)",3,extremely sparse JL transform,"1000_0.66_(-100, 100)","(1000, 1000)","(1110, 1127)","{'ep': 0.1, 'de': 0.1}",0.01128025,0.76,0.316950811,50.71050752
"1000_0.66_(-100, 100)",43,JL transform,"1000_0.66_(-100, 100)","(1000, 10000)","(1110, 1000)","{'ep': 0.05, 'de': 0.1}",0.732055762,0.86,0.433164339,94.08540351999999
"1000_0.66_(-100, 100)",52,extremely sparse JL transform,"1000_0.66_(-100, 100)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.266009235,0.99,0.979916936,190.19800998
"1000_0.66_(-100, 100)",81,extremely sparse JL transform,"1000_0.66_(-100, 100)","(10000, 1000)","(10110, 1433)","{'ep': 0.1, 'de': 0.1}",0.234038122,0.36,0.928628504,1.2093235199999999
"1000_0.66_(-100, 100)",107,extremely sparse JL transform,"1000_0.66_(-100, 100)","(10000, 10000)","(10110, 1910)","{'ep': 0.1, 'de': 0.1}",1.349036301,0.8,1.321901289,32.76800000000001
"1000_0.66_(-100, 100)",130,extremely sparse JL transform,"1000_0.66_(-100, 100)","(10000, 20000)","(10110, 4246)","{'ep': 0.05, 'de': 0.05}",2.561672529,0.9,2.329959673,39.36600000000001
"1000_0.66_(-100, 100)",158,extremely sparse JL transform,"1000_0.66_(-100, 100)","(20000, 1000)","(20110, 1575)","{'ep': 0.1, 'de': 0.05}",0.514250909,0.29,1.031243327,0.41022297999999985
"1000_0.66_(-100, 100)",183,extremely sparse JL transform,"1000_0.66_(-100, 100)","(20000, 10000)","(20110, 4074)","{'ep': 0.05, 'de': 0.1}",3.122753092,1.0,4.023743411,50.0
"1000_0.66_(-100, 100)",234,extremely sparse JL transform,"1000_0.66_(-100, 100)","(20000, 20000)","(20110, 4518)","{'ep': 0.05, 'de': 0.05}",5.534902531,1.0,4.404832456,33.333333333333336
"1000_0.66_(-1000, 1000)",0,extremely sparse JL transform,"1000_0.66_(-1000, 1000)","(1000, 1000)","(1110, 2351)","{'ep': 0.05, 'de': 0.05}",0.017048569,1.0,0.50487394,200.0
"1000_0.66_(-1000, 1000)",26,extremely sparse JL transform,"1000_0.66_(-1000, 1000)","(1000, 10000)","(1110, 3135)","{'ep': 0.05, 'de': 0.05}",0.124610361,1.0,0.673763885,200.0
"1000_0.66_(-1000, 1000)",52,extremely sparse JL transform,"1000_0.66_(-1000, 1000)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.256641982,1.0,0.695189418,200.0
"1000_0.66_(-1000, 1000)",78,extremely sparse JL transform,"1000_0.66_(-1000, 1000)","(10000, 1000)","(10110, 2961)","{'ep': 0.05, 'de': 0.05}",0.39098694,1.0,1.777463315,200.0
"1000_0.66_(-1000, 1000)",119,sparse JL transform,"1000_0.66_(-1000, 1000)","(10000, 10000)","(10110, 68)","{'ep': 0.9, 'de': 0.1}",0.458713353,1.0,0.311901516,200.0
"1000_0.66_(-1000, 1000)",150,JL transform,"1000_0.66_(-1000, 1000)","(10000, 20000)","(10110, 287)","{'ep': 0.5, 'de': 0.05}",1.70197271,1.0,0.308175583,100.0
"1000_0.66_(-1000, 1000)",162,extremely sparse JL transform,"1000_0.66_(-1000, 1000)","(20000, 1000)","(20110, 175)","{'ep': 0.9, 'de': 0.05}",0.248497949,1.0,0.268130014,200.0
"1000_0.66_(-1000, 1000)",196,sparse JL transform,"1000_0.66_(-1000, 1000)","(20000, 10000)","(20110, 88)","{'ep': 0.9, 'de': 0.05}",1.357612098,1.0,0.313150894,100.0
"1000_0.66_(-1000, 1000)",231,JL transform,"1000_0.66_(-1000, 1000)","(20000, 20000)","(20110, 68)","{'ep': 0.9, 'de': 0.1}",1.797911956,0.99,0.234859669,95.09900499
"1000_0.66_(-500, 500)",24,PCA,"1000_0.66_(-500, 500)","(1000, 1000)","(1110, 11)","{'n_components': 11, 'svd_solver': 'auto'}",0.258339668,1.0,0.195494146,200.0
"1000_0.66_(-500, 500)",27,extremely sparse JL transform,"1000_0.66_(-500, 500)","(1000, 10000)","(1110, 3007)","{'ep': 0.05, 'de': 0.1}",0.120415643,1.0,0.983221748,200.0
"1000_0.66_(-500, 500)",52,extremely sparse JL transform,"1000_0.66_(-500, 500)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.263296006,1.0,0.868128519,200.0
"1000_0.66_(-500, 500)",78,extremely sparse JL transform,"1000_0.66_(-500, 500)","(10000, 1000)","(10110, 2961)","{'ep': 0.05, 'de': 0.05}",0.378419765,1.0,2.094235963,200.0
"1000_0.66_(-500, 500)",117,sparse JL transform,"1000_0.66_(-500, 500)","(10000, 10000)","(10110, 221)","{'ep': 0.5, 'de': 0.1}",0.748390804,0.98,0.290809415,180.78415936
"1000_0.66_(-500, 500)",142,sparse JL transform,"1000_0.66_(-500, 500)","(10000, 20000)","(10110, 287)","{'ep': 0.5, 'de': 0.05}",1.635757609,0.99,0.394689356,95.09900499
"1000_0.66_(-500, 500)",156,extremely sparse JL transform,"1000_0.66_(-500, 500)","(20000, 1000)","(20110, 3151)","{'ep': 0.05, 'de': 0.05}",0.803403419,1.0,3.138048737,200.0
"1000_0.66_(-500, 500)",195,sparse JL transform,"1000_0.66_(-500, 500)","(20000, 10000)","(20110, 221)","{'ep': 0.5, 'de': 0.1}",1.907252808,0.99,0.422511718,95.09900499
"1000_0.66_(-500, 500)",229,JL transform,"1000_0.66_(-500, 500)","(20000, 20000)","(20110, 221)","{'ep': 0.5, 'de': 0.1}",2.779708843,0.95,0.396276269,51.58539583333332
"1000_0.99_(-100, 100)",5,extremely sparse JL transform,"1000_0.99_(-100, 100)","(1000, 1000)","(1110, 225)","{'ep': 0.5, 'de': 0.1}",0.008421049,0.81,0.292384286,69.73568802000003
"1000_0.99_(-100, 100)",42,JL transform,"1000_0.99_(-100, 100)","(1000, 10000)","(1110, 1000)","{'ep': 0.05, 'de': 0.05}",0.711697821,0.99,0.278243023,190.19800998
"1000_0.99_(-100, 100)",52,extremely sparse JL transform,"1000_0.99_(-100, 100)","(1000, 20000)","(1110, 3371)","{'ep': 0.05, 'de': 0.05}",0.289877158,0.83,0.649220521,78.78081285999998
"1000_0.99_(-100, 100)",80,extremely sparse JL transform,"1000_0.99_(-100, 100)","(10000, 1000)","(10110, 1480)","{'ep': 0.1, 'de': 0.05}",0.25756083,0.79,0.818776667,61.54112798000001
"1000_0.99_(-100, 100)",105,extremely sparse JL transform,"1000_0.99_(-100, 100)","(10000, 10000)","(10110, 3821)","{'ep': 0.05, 'de': 0.1}",1.45705106,0.83,1.724437789,39.39040642999999
"1000_0.99_(-100, 100)",131,extremely sparse JL transform,"1000_0.99_(-100, 100)","(10000, 20000)","(10110, 4108)","{'ep': 0.05, 'de': 0.1}",2.686324182,0.82,2.507749493,24.71598954666666
"1000_0.99_(-100, 100)",159,extremely sparse JL transform,"1000_0.99_(-100, 100)","(20000, 1000)","(20110, 1528)","{'ep': 0.1, 'de': 0.1}",0.485513863,0.79,1.218322536,61.54112798000001
"1000_0.99_(-100, 100)",183,extremely sparse JL transform,"1000_0.99_(-100, 100)","(20000, 10000)","(20110, 4074)","{'ep': 0.05, 'de': 0.1}",2.860207236,0.88,2.953416548,35.18212778666667
"1000_0.99_(-100, 100)",208,extremely sparse JL transform,"1000_0.99_(-100, 100)","(20000, 20000)","(20110, 4518)","{'ep': 0.05, 'de': 0.05}",5.239729739,0.95,3.074967098,25.79269791666666
"1000_0.99_(-1000, 1000)",24,PCA,"1000_0.99_(-1000, 1000)","(1000, 1000)","(1110, 11)","{'n_components': 11, 'svd_solver': 'auto'}",0.297229041,0.88,0.180053073,105.54638336
"1000_0.99_(-1000, 1000)",39,sparse JL transform,"1000_0.99_(-1000, 1000)","(1000, 10000)","(1110, 221)","{'ep': 0.5, 'de': 0.1}",0.164256362,1.0,0.270151891,200.0
"1000_0.99_(-1000, 1000)",65,sparse JL transform,"1000_0.99_(-1000, 1000)","(1000, 20000)","(1110, 221)","{'ep': 0.5, 'de': 0.1}",0.36902103,1.0,0.209309099,200.0
"1000_0.99_(-1000, 1000)",98,JL transform,"1000_0.99_(-1000, 1000)","(10000, 1000)","(10110, 287)","{'ep': 0.5, 'de': 0.05}",0.119507978,0.76,0.330816543,50.71050752
"1000_0.99_(-1000, 1000)",116,sparse JL transform,"1000_0.99_(-1000, 1000)","(10000, 10000)","(10110, 287)","{'ep': 0.5, 'de': 0.05}",0.911752835,1.0,0.393513078,200.0
"1000_0.99_(-1000, 1000)",153,JL transform,"1000_0.99_(-1000, 1000)","(10000, 20000)","(10110, 68)","{'ep': 0.9, 'de': 0.1}",1.336354174,1.0,0.362106744,100.0
"1000_0.99_(-1000, 1000)",174,JL transform,"1000_0.99_(-1000, 1000)","(20000, 1000)","(20110, 100)","{'ep': 0.1, 'de': 0.05}",0.115039848,0.8,0.309175074,65.53600000000002
"1000_0.99_(-1000, 1000)",205,JL transform,"1000_0.99_(-1000, 1000)","(20000, 10000)","(20110, 68)","{'ep': 0.9, 'de': 0.1}",0.863934821,0.98,0.264273038,180.78415936
"1000_0.99_(-1000, 1000)",231,JL transform,"1000_0.99_(-1000, 1000)","(20000, 20000)","(20110, 68)","{'ep': 0.9, 'de': 0.1}",1.793686074,1.0,0.268239797,100.0
"1000_0.99_(-500, 500)",6,extremely sparse JL transform,"1000_0.99_(-500, 500)","(1000, 1000)","(1110, 130)","{'ep': 0.9, 'de': 0.05}",0.008380374,0.75,0.236884895,47.4609375
"1000_0.99_(-500, 500)",43,JL transform,"1000_0.99_(-500, 500)","(1000, 10000)","(1110, 1000)","{'ep': 0.05, 'de': 0.1}",0.754905981,0.9,0.403317687,118.09800000000001
"1000_0.99_(-500, 500)",64,sparse JL transform,"1000_0.99_(-500, 500)","(1000, 20000)","(1110, 287)","{'ep': 0.5, 'de': 0.05}",0.523364286,0.93,0.275647069,139.13767386000004
